app_id,app_name,count,genres
218620,PAYDAY 2,88973,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
221100,DayZ,88850,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}]"
105600,Terraria,84828,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
252490,Rust,77037,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]"
570,Dota 2,73541,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '2', 'description': 'Strategy'}]"
252950,Rocket League,54227,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '9', 'description': 'Racing'}, {'id': '18', 'description': 'Sports'}]"
391540,Undertale,51918,"[{'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
550,Left 4 Dead 2,50980,"[{'id': '1', 'description': 'Action'}]"
230410,Warframe,48229,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '3', 'description': 'RPG'}]"
271590,Grand Theft Auto V,42374,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
301520,Robocraft,41596,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}]"
211820,Starbound,41141,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
620,Portal 2,38924,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
244850,Space Engineers,37453,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
22380,Fallout: New Vegas,32963,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
107410,Arma 3,32308,"[{'id': '1', 'description': 'Action'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
292030,The Witcher 3: Wild Hunt,31853,"[{'id': '3', 'description': 'RPG'}]"
227940,Heroes & Generals,31303,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '2', 'description': 'Strategy'}]"
8870,BioShock Infinite,31140,"[{'id': '1', 'description': 'Action'}]"
242760,The Forest,29998,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
211420,DARK SOULS™: Prepare To Die Edition,29598,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
444090,Paladins,28479,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}]"
4000,Garry's Mod,27939,"[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
220200,Kerbal Space Program,26544,"[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
222880,Insurgency,26535,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]"
48700,Mount & Blade: Warband,26469,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
212680,FTL: Faster Than Light,25936,"[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
251570,7 Days to Die,25070,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}, {'id': '70', 'description': 'Early Access'}]"
275850,No Man's Sky,24715,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
311210,Call of Duty: Black Ops III,24543,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
265930,Goat Simulator,24193,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
203160,Tomb Raider,23749,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
250900,The Binding of Isaac: Rebirth,23306,"[{'id': '1', 'description': 'Action'}]"
1250,Killing Floor,22017,"[{'id': '1', 'description': 'Action'}]"
232090,Killing Floor 2,21788,"[{'id': '1', 'description': 'Action'}]"
238960,Path of Exile,21562,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]"
49520,Borderlands 2,21306,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
219640,Chivalry: Medieval Warfare,21288,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]"
218230,PlanetSide 2,20738,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '29', 'description': 'Massively Multiplayer'}]"
379720,DOOM,20682,"[{'id': '1', 'description': 'Action'}]"
113200,The Binding of Isaac,20402,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
227300,Euro Truck Simulator 2,20220,"[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
200510,XCOM: Enemy Unknown,19654,"[{'id': '2', 'description': 'Strategy'}]"
291550,Brawlhalla,19408,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}]"
255710,Cities: Skylines,19134,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
304050,Trove,19031,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '37', 'description': 'Free to Play'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]"
241930,Middle-earth™: Shadow of Mordor™,18765,[]
219150,Hotline Miami,18735,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]"
205100,Dishonored,18666,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
381210,Dead by Daylight,18531,"[{'id': '1', 'description': 'Action'}]"
333930,Dirty Bomb,18375,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}]"
322330,Don't Starve Together,18129,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
359550,Tom Clancy's Rainbow Six Siege,17681,"[{'id': '1', 'description': 'Action'}]"
240,Counter-Strike: Source,17571,"[{'id': '1', 'description': 'Action'}]"
417860,Emily is Away,17066,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
264710,Subnautica,16999,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
208650,Batman™: Arkham Knight,16948,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
206420,Saints Row IV,16933,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
374320,DARK SOULS™ III,16824,"[{'id': '1', 'description': 'Action'}]"
400,Portal,16293,"[{'id': '1', 'description': 'Action'}]"
224260,No More Room in Hell,16172,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}]"
214950,Total War: ROME II - Emperor Edition,16110,"[{'id': '2', 'description': 'Strategy'}]"
219740,Don't Starve,16017,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
273350,Evolve Stage 2,15827,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}]"
233450,Prison Architect,15711,"[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
220240,Far Cry® 3,15629,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,15545,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
238460,BattleBlock Theater,15245,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]"
221380,Age of Empires II (2013),14973,"[{'id': '2', 'description': 'Strategy'}]"
433850,Z1 Battle Royale,14965,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free to Play'}, {'id': '29', 'description': 'Massively Multiplayer'}]"
204360,Castle Crashers,14877,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
107100,Bastion,14790,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
239140,Dying Light,14761,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
383870,Firewatch,14516,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
12210,Grand Theft Auto IV: The Complete Edition,14401,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
8190,Just Cause 2,14374,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
365590,Tom Clancy's The Division,14309,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]"
363970,Clicker Heroes,14265,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
206440,To the Moon,14221,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
242920,Banished,13766,"[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
225080,Brothers - A Tale of Two Sons,13743,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
239820,Game Dev Tycoon,13590,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
346900,AdVenture Capitalist,13450,"[{'id': '4', 'description': 'Casual'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}]"
203770,Crusader Kings II,13237,"[{'id': '37', 'description': 'Free to Play'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
322170,Geometry Dash,13165,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]"
364360,Total War: WARHAMMER,13109,"[{'id': '1', 'description': 'Action'}, {'id': '2', 'description': 'Strategy'}]"
200210,Realm of the Mad God Exalt,12743,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]"
200710,Torchlight II,12687,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
113400,APB Reloaded,12604,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '29', 'description': 'Massively Multiplayer'}]"
359320,Elite Dangerous,12584,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
