app_id,app_name,count
218620,PAYDAY 2,88973
221100,DayZ,88850
105600,Terraria,84828
252490,Rust,77037
570,Dota 2,73541
252950,Rocket League,54227
391540,Undertale,51918
550,Left 4 Dead 2,50980
230410,Warframe,48229
271590,Grand Theft Auto V,42374
301520,Robocraft,41596
211820,Starbound,41141
620,Portal 2,38924
244850,Space Engineers,37453
22380,Fallout: New Vegas,32963
107410,Arma 3,32308
292030,The Witcher 3: Wild Hunt,31853
227940,Heroes & Generals,31303
8870,BioShock Infinite,31140
242760,The Forest,29998
211420,DARK SOULS™: Prepare To Die Edition,29598
444090,Paladins,28479
4000,Garry's Mod,27939
220200,Kerbal Space Program,26544
222880,Insurgency,26535
48700,Mount & Blade: Warband,26469
212680,FTL: Faster Than Light,25936
251570,7 Days to Die,25070
275850,No Man's Sky,24715
311210,Call of Duty: Black Ops III,24543
265930,Goat Simulator,24193
203160,Tomb Raider,23749
250900,The Binding of Isaac: Rebirth,23306
1250,Killing Floor,22017
232090,Killing Floor 2,21788
238960,Path of Exile,21562
49520,Borderlands 2,21306
219640,Chivalry: Medieval Warfare,21288
218230,PlanetSide 2,20738
379720,DOOM,20682
113200,The Binding of Isaac,20402
227300,Euro Truck Simulator 2,20220
200510,XCOM: Enemy Unknown,19654
291550,Brawlhalla,19408
255710,Cities: Skylines,19134
304050,Trove,19031
241930,Middle-earth™: Shadow of Mordor™,18765
219150,Hotline Miami,18735
205100,Dishonored,18666
381210,Dead by Daylight,18531
333930,Dirty Bomb,18375
322330,Don't Starve Together,18129
359550,Tom Clancy's Rainbow Six Siege,17681
240,Counter-Strike: Source,17571
417860,Emily is Away,17066
264710,Subnautica,16999
208650,Batman™: Arkham Knight,16948
206420,Saints Row IV,16933
374320,DARK SOULS™ III,16824
400,Portal,16293
224260,No More Room in Hell,16172
214950,Total War: ROME II - Emperor Edition,16110
219740,Don't Starve,16017
273350,Evolve Stage 2,15827
233450,Prison Architect,15711
220240,Far Cry® 3,15629
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,15545
238460,BattleBlock Theater,15245
221380,Age of Empires II (2013),14973
433850,Z1 Battle Royale,14965
204360,Castle Crashers,14877
107100,Bastion,14790
239140,Dying Light,14761
383870,Firewatch,14516
12210,Grand Theft Auto IV: The Complete Edition,14401
8190,Just Cause 2,14374
365590,Tom Clancy's The Division,14309
363970,Clicker Heroes,14265
206440,To the Moon,14221
242920,Banished,13766
225080,Brothers - A Tale of Two Sons,13743
239820,Game Dev Tycoon,13590
346900,AdVenture Capitalist,13450
203770,Crusader Kings II,13237
322170,Geometry Dash,13165
364360,Total War: WARHAMMER,13109
200210,Realm of the Mad God Exalt,12743
200710,Torchlight II,12687
113400,APB Reloaded,12604
359320,Elite Dangerous,12584
427520,Factorio,12553
346110,ARK: Survival Evolved,12470
10,Counter-Strike,12353
440,Team Fortress 2,12220
305620,The Long Dark,11876
50300,Spec Ops: The Line,11833
201810,Wolfenstein: The New Order,11781
291480,Warface,11720
104900,ORION: Prelude,11630
346010,Besiege,11587
238320,Outlast,11471
242860,Verdun,11439
239030,"Papers, Please",11295
22370,Fallout 3 - Game of the Year Edition,11246
319510,Five Nights at Freddy's,11217
232430,Gone Home,11215
231430,Company of Heroes 2,11130
234140,Mad Max,11126
221640,Super Hexagon,11099
282070,This War of Mine,10914
65980,Sid Meier's Civilization: Beyond Earth,10893
268500,XCOM 2,10799
250320,The Wolf Among Us,10570
24240,PAYDAY: The Heist,10519
237930,Transistor,10443
